role,source_path,unity_path,usage,claim
final_login_background,/Users/minhdc/.codex/generated_images/01a068f3-2472-79d0-8143-aa2a6740404e/call_xpMHgcF1aNT6L7djzQiJeXVJ.png,client/Unity/Assets/Game/Art/Runtime/FinalLogin/Resources/LGOFinalLogin/login_background_spirit_gate_final_1920x1080.jpg,primary fullscreen login background,AI-generated runtime candidate not production final
final_login_logo,/Users/minhdc/.codex/generated_images/01a068f3-2472-79d0-8143-aa2a6740404e/call_XZGLkEJuFcRp6UJhBSiqixkC.png,client/Unity/Assets/Game/Art/Runtime/FinalLogin/Resources/LGOFinalLogin/logo_linh_gioi_online_final_420.png,primary login logo,AI-generated V3B-like runtime candidate not production final
final_login_enter_world_button,/Users/minhdc/.codex/generated_images/01a068f3-2472-79d0-8143-aa2a6740404e/call_fxobirzemQxAxsLYYz8iT1Xv.png,client/Unity/Assets/Game/Art/Runtime/FinalLogin/Resources/LGOFinalLogin/button_enter_world_final_384.png,primary login CTA frame with Vietnamese text overlaid by UI,AI-generated V3B-like runtime candidate not production final
login_background,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/login/login_background_spirit_gate_1920x1080.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/login/login_background_spirit_gate_1920x1080.png,fullscreen login/gate entry background,runtime candidate not production final
login_logo,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/login/logo_linh_gioi_online_2048x1024.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/login/logo_linh_gioi_online_2048x1024.png,login brand mark,runtime candidate not production final
login_gate_keeper,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/login/gate_keeper_npc_1024x1536.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/login/gate_keeper_npc_1024x1536.png,login guide character,runtime candidate not production final
enter_world_button_normal,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/buttons/button_enter_world_normal_1024x256.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/buttons/button_enter_world_normal_1024x256.png,primary CTA normal state,runtime candidate not production final
enter_world_button_pressed,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/buttons/button_enter_world_pressed_1024x256.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/buttons/button_enter_world_pressed_1024x256.png,primary CTA pressed/loading state,runtime candidate not production final
enter_world_button_disabled,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/buttons/button_disabled_1024x256.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/buttons/button_disabled_1024x256.png,primary CTA disabled/busy state,runtime candidate not production final
server_selector,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/panels/server_selector_panel_1024x256.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/panels/server_selector_panel_1024x256.png,server selector frame,runtime candidate not production final
server_status_online,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/status/server_online_256x256.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/status/server_online_256x256.png,server online status,runtime candidate not production final
login_panel,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/panels/panel_main_1536x768.png,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/panels/panel_main_1536x768.png,login control panel,runtime candidate not production final
login_icons,/Users/minhdc/Projects/LGO-ArtPacks/LGO-ART-V3B-A-LOGIN-GATE-ENTRY-PRODUCTION-PACK/images/runtime-ready/ui/icons,client/Unity/Assets/Game/Art/Runtime/V3BA/Resources/LGOArtV3BA/ui/icons,login utility icons,runtime candidate not production final
